img_id,mod,center_test_z,center_test_y,center_test_x
rem_287,real,191,180,180
rem_820,real,189,180,180
rem_287,pix2pix,202,180,180
inj_787,real,348,180,180
inj_788,real,78,180,180
rem_288,real,118,140,140
rem_821,real,98,140,140
rem_288,pix2pix,125,140,140
inj_801,real,110,140,140
inj_802,real,120,140,140
inj_803,real,52,140,140
inj_804,real,88,140,140
rem_292,real,131,186,186
rem_825,real,139,186,186
rem_292,pix2pix,142,186,186
inj_821,real,94,186,186
inj_822,real,114,186,186
inj_823,real,114,186,186
inj_824,real,126,186,186
inj_825,real,204,186,186
rem_293,real,272,180,180
rem_826,real,265,180,180
rem_294,pix2pix,326,180,180
rem_294,real,340,180,180
rem_827,real,328,180,180
inj_849,real,342,180,180
rem_297,real,171,158,158
rem_829,real,155,158,158
rem_830,real,168,158,158
rem_297,pix2pix,166,158,158
rem_296,real,165,158,158
inj_854,real,171,158,158
inj_855,real,46,158,158
inj_856,real,160,158,158
rem_298,real,430,150,150
rem_298,pix2pix,424,150,150
rem_831,real,412,150,150
inj_859,real,279,150,150
inj_860,real,82,150,150
inj_861,real,116,150,150
inj_862,real,222,150,150
rem_301,real,50,164,164
rem_834,real,76,164,164
rem_301,pix2pix,30,164,164
inj_868,real,104,164,164
inj_869,real,180,164,164
inj_870,real,114,164,164
inj_871,real,130,164,164
inj_872,real,92,164,164
inj_873,real,58,164,164
rem_302,real,154,195,195
rem_303,real,119,195,195
rem_304,real,155,195,195
rem_835,real,155,195,195
rem_836,real,128,195,195
rem_302,pix2pix,160,195,195
rem_303,pix2pix,150,195,195
rem_304,pix2pix,171,195,195
rem_837,real,176,195,195
inj_875,real,128,195,195
inj_876,real,138,195,195
inj_877,real,159,195,195
rem_305,real,161,155,155
rem_838,real,150,155,155
rem_305,pix2pix,151,155,155
inj_890,real,133,155,155
inj_891,real,129,155,155
inj_892,real,186,155,155
inj_893,real,143,155,155
inj_894,real,145,155,155
inj_895,real,173,155,155
rem_306,real,162,180,180
rem_307,real,177,182,182
rem_839,real,228,180,180
rem_840,real,177,182,182
inj_897,real,216,180,180
inj_898,real,168,182,182
rem_309,real,188,180,180
rem_311,real,100,180,180
rem_842,real,128,180,180
rem_844,real,110,180,180
rem_309,pix2pix,138,180,180
rem_310,pix2pix,275,180,180
rem_310,real,210,180,180
rem_843,real,218,180,180
inj_916,real,218,180,180
inj_917,real,128,180,180
inj_918,real,90,180,180
rem_313,real,254,170,170
rem_846,real,271,170,170
rem_313,pix2pix,292,170,170
inj_920,real,555,170,170
inj_921,real,476,170,170
inj_922,real,281,170,170
inj_923,real,158,170,170
inj_924,real,272,170,170
inj_925,real,521,170,170
inj_926,real,286,170,170
inj_927,real,365,170,170
inj_928,real,484,170,170
rem_316,real,188,185,185
rem_849,real,188,185,185
rem_316,pix2pix,170,185,185
inj_956,real,36,185,185
rem_321,real,360,214,214
rem_854,real,310,214,214
rem_321,pix2pix,340,214,214
inj_957,real,246,214,214
rem_323,real,426,200,200
rem_324,real,328,200,200
rem_325,real,410,200,200
rem_326,real,390,200,200
rem_327,real,346,200,200
rem_856,real,452,200,200
rem_857,real,304,200,200
rem_858,real,416,200,200
rem_860,real,314,200,200
rem_323,pix2pix,454,200,200
rem_324,pix2pix,320,200,200
rem_326,pix2pix,366,200,200
rem_327,pix2pix,284,200,200
rem_859,real,342,200,200
inj_962,real,444,200,200
inj_963,real,222,200,200
inj_964,real,180,200,200
inj_965,real,240,200,200
inj_966,real,318,200,200
rem_329,real,252,225,225
rem_330,real,108,225,225
rem_862,real,183,225,225
rem_863,real,51,225,225
inj_971,real,102,225,225
rem_332,real,150,180,180
rem_333,real,144,180,180
rem_865,real,149,180,180
rem_866,real,152,180,180
rem_332,pix2pix,120,180,180
rem_333,pix2pix,150,180,180
inj_976,real,36,180,180
inj_977,real,92,180,180
inj_978,real,51,180,180
rem_334,real,82,138,138
rem_867,real,78,138,138
inj_985,real,37,138,138
inj_986,real,197,138,138
inj_987,real,163,138,138
rem_335,real,72,207,207
rem_336,real,147,207,207
rem_337,real,165,207,207
rem_868,real,54,207,207
rem_869,real,99,207,207
rem_870,real,153,207,207
inj_988,real,138,207,207
inj_989,real,93,207,207
rem_339,real,602,180,180
rem_872,real,596,180,180
rem_339,pix2pix,589,180,180
inj_990,real,359,180,180
inj_991,real,526,180,180
inj_992,real,415,180,180
rem_35,real,95,170,170
rem_37,real,92,170,170
rem_38,real,212,170,170
rem_39,real,242,170,170
rem_40,real,135,170,170
rem_568,real,102,170,170
rem_569,real,178,170,170
rem_570,real,145,170,170
rem_571,real,198,170,170
rem_573,real,152,170,170
inj_2061,real,248,170,170
inj_2062,real,185,170,170
inj_2063,real,155,170,170
inj_2064,real,125,170,170
inj_2065,real,135,170,170
rem_35,pix2pix,82,170,170
rem_36,pix2pix,182,170,170
rem_37,pix2pix,128,170,170
rem_38,pix2pix,212,170,170
rem_39,pix2pix,228,170,170
rem_40,pix2pix,188,170,170
rem_568,pix2pix,102,170,170
rem_569,pix2pix,160,170,170
rem_571,pix2pix,218,170,170
rem_572,pix2pix,232,170,170
rem_573,pix2pix,145,170,170
inj_2061,pix2pix,200,170,170
inj_2062,pix2pix,195,170,170
inj_2065,pix2pix,105,170,170
rem_36,real,120,170,170
rem_572,real,215,170,170
inj_86,real,225,170,170
inj_87,real,155,170,170
inj_88,real,175,170,170
inj_89,real,128,170,170
inj_90,real,150,170,170
rem_370,real,213,192,192
rem_903,real,234,192,192
rem_372,real,225,165,165
inj_1211,real,305,165,165
inj_1212,real,272,165,165
inj_1213,real,190,165,165
inj_1214,real,312,165,165
inj_1215,real,152,165,165
inj_1216,real,200,165,165
inj_1217,real,285,165,165
rem_372,pix2pix,290,165,165
inj_1211,pix2pix,265,165,165
inj_1212,pix2pix,260,165,165
inj_1214,pix2pix,290,165,165
inj_1216,pix2pix,192,165,165
rem_905,real,282,165,165
rem_373,real,195,166,166
inj_1219,real,162,166,166
inj_1220,real,177,166,166
inj_1221,real,201,166,166
inj_1218,real,72,166,166
rem_906,real,189,166,166
rem_374,real,249,166,166
inj_1229,real,283,166,166
inj_1230,real,302,166,166
inj_1229,pix2pix,286,166,166
inj_1230,pix2pix,302,166,166
rem_907,real,250,166,166
rem_375,real,84,155,155
rem_376,real,402,155,155
inj_1243,real,86,155,155
inj_1244,real,314,155,155
rem_375,pix2pix,67,155,155
rem_376,pix2pix,424,155,155
inj_1243,pix2pix,68,155,155
rem_908,real,71,155,155
rem_909,real,407,155,155
rem_377,real,186,166,166
inj_1248,real,206,166,166
inj_1251,real,261,166,166
rem_377,pix2pix,202,166,166
inj_1246,pix2pix,43,166,166
inj_1248,pix2pix,205,166,166
inj_1249,pix2pix,323,166,166
inj_1250,pix2pix,203,166,166
inj_1252,pix2pix,38,166,166
inj_1246,real,45,166,166
inj_1249,real,308,166,166
inj_1250,real,201,166,166
inj_1252,real,59,166,166
rem_910,real,188,166,166
rem_379,real,250,170,170
rem_380,real,200,170,170
inj_1257,real,168,170,170
inj_1258,real,162,170,170
rem_378,pix2pix,136,170,170
rem_379,pix2pix,220,170,170
rem_380,pix2pix,204,170,170
inj_1257,pix2pix,158,170,170
inj_1258,pix2pix,124,170,170
rem_378,real,176,170,170
rem_911,real,152,170,170
rem_912,real,248,170,170
rem_913,real,166,170,170
rem_382,real,88,175,175
rem_383,real,54,175,175
inj_1281,real,49,175,175
inj_1282,real,78,175,175
inj_1284,real,44,175,175
inj_1285,real,122,175,175
rem_382,pix2pix,74,175,175
rem_383,pix2pix,71,175,175
inj_1281,pix2pix,42,175,175
inj_1283,pix2pix,166,175,175
inj_1285,pix2pix,108,175,175
inj_1283,real,186,175,175
rem_915,real,64,175,175
rem_916,real,68,175,175
rem_384,real,168,135,135
rem_384,pix2pix,165,135,135
rem_917,real,148,135,135
rem_389,real,98,180,180
rem_390,real,21,180,180
rem_391,real,56,180,180
inj_1304,real,22,180,180
inj_1305,real,198,180,180
inj_1306,real,35,180,180
inj_1307,real,214,180,180
inj_1308,real,39,180,180
inj_1309,real,114,180,180
inj_1311,real,69,180,180
inj_1312,real,59,180,180
inj_1313,real,160,180,180
inj_1314,real,110,180,180
inj_1315,real,62,180,180
inj_1316,real,54,180,180
inj_1317,real,102,180,180
inj_1318,real,126,180,180
inj_1319,real,120,180,180
inj_1320,real,42,180,180
inj_1321,real,158,180,180
rem_389,pix2pix,111,180,180
rem_390,pix2pix,12,180,180
rem_391,pix2pix,66,180,180
inj_1304,pix2pix,16,180,180
inj_1306,pix2pix,35,180,180
inj_1307,pix2pix,185,180,180
inj_1308,pix2pix,28,180,180
inj_1309,pix2pix,91,180,180
inj_1310,pix2pix,139,180,180
inj_1311,pix2pix,69,180,180
inj_1312,pix2pix,70,180,180
inj_1313,pix2pix,155,180,180
inj_1314,pix2pix,120,180,180
inj_1316,pix2pix,62,180,180
inj_1317,pix2pix,121,180,180
inj_1318,pix2pix,110,180,180
inj_1319,pix2pix,120,180,180
inj_1320,pix2pix,50,180,180
inj_1321,pix2pix,139,180,180
inj_1310,real,150,180,180
rem_922,real,105,180,180
rem_923,real,31,180,180
rem_924,real,79,180,180
rem_392,real,342,140,140
rem_393,real,342,140,140
inj_1330,real,364,140,140
rem_392,pix2pix,309,140,140
inj_1330,pix2pix,370,140,140
rem_925,real,344,140,140
rem_926,real,334,140,140
rem_394,real,161,180,180
rem_395,real,172,180,180
rem_927,real,166,180,180
rem_928,real,179,180,180
rem_397,real,310,180,180
inj_1344,real,102,180,180
inj_1345,real,239,180,180
inj_1347,real,80,180,180
rem_397,pix2pix,290,180,180
inj_1344,pix2pix,126,180,180
inj_1346,pix2pix,49,180,180
inj_1348,pix2pix,368,180,180
inj_1349,pix2pix,58,180,180
inj_1346,real,41,180,180
inj_1348,real,385,180,180
inj_1349,real,64,180,180
rem_930,real,302,180,180
rem_400,real,141,172,172
inj_1356,real,120,172,172
inj_1358,real,120,172,172
inj_1359,real,132,172,172
inj_1360,real,228,172,172
inj_1357,real,60,172,172
inj_1361,real,168,172,172
rem_933,real,66,172,172
rem_401,real,111,138,138
inj_1363,real,33,138,138
inj_1364,real,72,138,138
inj_1365,real,6,138,138
inj_1366,real,162,138,138
rem_934,real,39,138,138
rem_402,real,177,171,171
inj_1369,real,135,171,171
inj_1370,real,243,171,171
inj_1371,real,186,171,171
inj_1372,real,249,171,171
inj_1373,real,237,171,171
rem_935,real,213,171,171
