epoch,train_loss,valid_loss,valid_auc,valid_ap,valid_balanced_accuracy,valid_n,valid_n_pos
1,0.06932696883380413,0.021655035143097242,nan,nan,1.0,1920.0,0.0
2,0.02752823728322983,0.010193992328519622,nan,nan,1.0,1920.0,0.0
3,0.021471065893769264,0.010648625840743383,nan,nan,1.0,1920.0,0.0
4,0.02048167247325182,0.009936276908653478,nan,nan,1.0,1920.0,0.0
5,0.019493844125419855,0.006297464059510579,nan,nan,1.0,1920.0,0.0
6,0.01840174573659897,0.007515190941436837,nan,nan,1.0,1920.0,0.0
1,0.0693248902708292,0.029386370566984017,0.6371840789467019,0.11881882187086802,0.5,1920.0,109.0
2,0.02751882343739271,0.020750896252381305,0.7514881027766098,0.17336417815533212,0.5,1920.0,109.0
3,0.021467007771134375,0.02064241215121001,0.7733119215396228,0.17995139708242353,0.5,1920.0,109.0
4,0.020487887132912875,0.019083120588523645,0.8171419308101864,0.2001596450429264,0.5,1920.0,109.0
5,0.019481032852083444,0.017839522027255347,0.8155335133409997,0.17756970635448135,0.5,1920.0,109.0
6,0.018391541596502067,0.017657542737045635,0.8395331283339834,0.21008286458028302,0.5,1920.0,109.0
