epoch,train_loss,valid_loss,valid_dice,valid_iou,valid_precision,valid_recall,valid_soft_dice,valid_mean_positive_probability,valid_mean_negative_probability
1,0.2928286954190753,0.2397103698356352,0.0,0.0,1.0,0.0,0.05271776936802387,0.25692456861257607,0.19040354101960566
2,0.2900824872050407,0.2383916724468847,0.0,0.0,1.0,0.0,0.05165498651674748,0.3544968463646922,0.2774666808696944
3,0.2906179694926436,0.23958110643199754,0.0,0.0,1.0,0.0,0.07248703176700157,0.25972671002429953,0.13249270575550637
4,0.29654061730705905,0.23745403991959504,0.0,0.0,1.0,0.0,0.06673379173617476,0.36135211957045626,0.2123709042117317
5,0.2930676991119938,0.2380284615158539,0.0,0.0,1.0,0.0,0.06992524094873898,0.3179907539232757,0.1744878060093452
6,0.2848053723193722,0.24196764670195686,0.0,0.0,1.0,0.0,0.07291890459568175,0.3239974607511174,0.1696458246638417
7,0.2916354081436747,0.23785700763173614,0.0,0.0,1.0,0.0,0.06725254923113928,0.3769714923981998,0.2205405394397196
8,0.2929814437648446,0.24093508351923099,0.0,0.0,1.0,0.0,0.07474961095587375,0.33460086741544526,0.17083464308465118
9,0.29739498565511724,0.23930379790686504,0.0,0.0,1.0,0.0,0.07217958823602694,0.3451004429530827,0.18431865385730986
10,0.3011176459454634,0.24838729889976432,0.0,0.0,1.0,0.0,0.07618061191932257,0.31712803282747837,0.15720004286284042
11,0.2868224654435622,0.23894487367323392,0.0,0.0,1.0,0.0,0.07027028107838294,0.37277166218314484,0.20717003434242592
12,0.28054087925942756,0.25480318228439564,0.0,0.0,1.0,0.0,0.07844571944975763,0.305261911105505,0.14531723650620054
13,0.3016194992234605,0.2381166282217022,0.0,0.0,1.0,0.0,0.07386538331647728,0.3695218106285089,0.19369705647549582
14,0.2962017464409281,0.24177692162132322,0.0,0.0,1.0,0.0,0.0722821147710511,0.338321497719657,0.17998739747471895
15,0.29393350992082323,0.24435162625614074,0.0,0.0,1.0,0.0,0.07226693438423508,0.29300532521987294,0.15289884969086107
16,0.2938913089895516,0.24251136549268706,0.0,0.0,1.0,0.0,0.07320081551626818,0.3245879722882875,0.16923007772948268
17,0.2872955957028154,0.23728115539330913,0.0,0.0,0.0,0.0,0.07018374003583518,0.3714175573687132,0.20666039536210837
